match_id,player_id,player_name,team,role,kills,deaths,assists,headshot_kills,damage,utility_damage,enemies_flashed,flash_assists,kd_ratio,kda_ratio,adr,hsp,rounds_survived,survival_rate,first_kills,first_deaths,clutches_attempted,clutches_won,multi_kill_rounds,smokes_thrown,flashes_thrown,he_thrown,molotovs_thrown,avg_cash_spent_per_round,avg_equipment_value_per_round,performance_score,won_match
38ef49dcbadc29d7,76561198050922008,hades,"HeavyGoD, Snax, hades, huNter-, malbsMd",unknown,12,6,4,5,78.1,62,3,3,2.0,2.6666667,78.0625,41.666668,10,62.5,3,1,0,0,3,17,25,12,17,2825.0,5773.6987,177.77812,true
6261f4aa942b7201,76561198068002993,HeavyGoD,"HeavyGoD, Snax, hades, huNter-, malbsMd",unknown,7,17,7,5,61.2,96,0,0,0.4117647,0.8235294,61.173912,71.42857,6,26.086956,0,5,0,0,2,27,32,11,24,2676.087,3955.954,38.580433,false
6261f4aa942b7201,76561198080703143,malbsMd,"HeavyGoD, Snax, hades, huNter-, malbsMd",unknown,9,19,7,7,57.2,21,1,1,0.47368422,0.84210527,57.217392,77.77778,4,17.391304,3,8,0,0,1,35,25,11,23,2697.8262,4022.8953,47.886955,false
6261f4aa942b7201,76561197982141573,Snax,"HeavyGoD, Snax, hades, huNter-, malbsMd",unknown,11,12,3,6,42.4,96,0,0,0.9166667,1.1666666,42.391304,54.545456,11,47.826088,1,1,1,0,2,33,31,16,33,2680.4348,4074.5996,69.69348,false
6261f4aa942b7201,76561198031890115,Lucky,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,14,13,3,5,68.7,69,2,2,1.0769231,1.3076923,68.695656,35.714287,10,43.47826,4,2,1,0,2,29,25,18,25,2660.8696,4103.391,111.295654,true
6261f4aa942b7201,76561198045739761,Maka,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,11,11,5,3,54.9,74,2,2,1.0,1.4545455,54.913044,27.272728,12,52.173912,2,2,1,0,3,36,31,15,20,2626.087,4920.209,99.05,true
6261f4aa942b7201,76561198168198200,Ex3rcice,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,14,11,7,10,72.4,37,0,0,1.2727273,1.9090909,72.434784,71.42857,12,52.173912,2,0,1,0,4,26,27,18,29,2763.0435,4276.562,124.00435,true
6261f4aa942b7201,76561198050922008,hades,"HeavyGoD, Snax, hades, huNter-, malbsMd",unknown,14,12,4,9,74.7,133,1,1,1.1666666,1.5,74.652176,64.28571,12,52.173912,0,0,0,0,3,21,32,8,22,2617.3914,5699.496,107.79348,false
6261f4aa942b7201,76561198012872053,huNter-,"HeavyGoD, Snax, hades, huNter-, malbsMd",unknown,20,14,1,10,69.7,94,0,0,1.4285715,1.5,69.695656,50.0,9,39.130436,3,2,2,0,5,26,23,22,27,2773.913,4017.562,140.2239,false
6261f4aa942b7201,76561198179538505,Graviti,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,19,12,6,13,77.7,45,2,2,1.5833334,2.0833333,77.73913,68.42105,11,47.826088,4,2,2,1,6,28,29,14,24,2780.4348,4282.5073,206.67827,true
6261f4aa942b7201,76561198013295375,bodyy,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,16,14,6,9,85.6,173,1,1,1.1428572,1.5714285,85.608696,56.25,9,39.130436,4,1,1,0,3,21,29,24,24,2673.913,4073.9624,132.85435,true
8fb1b8c03d99b851,76561198050922008,hades,"HeavyGoD, Snax, hades, huNter-, malbsMd",unknown,17,14,8,6,65.5,2,4,4,1.2142857,1.7857143,65.454544,35.294117,8,36.363636,1,7,1,0,7,23,19,11,20,2759.0908,4939.6494,154.92728,true
8fb1b8c03d99b851,76561198179538505,Graviti,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,7,18,4,5,41.6,12,0,0,0.3888889,0.6111111,41.590908,71.42857,4,18.181818,2,3,0,0,1,25,20,15,26,2772.7273,3431.6016,21.097727,false
8fb1b8c03d99b851,76561198168198200,Ex3rcice,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,15,16,3,11,65.3,15,0,0,0.9375,1.125,65.318184,73.333336,6,27.272728,0,2,1,0,5,35,12,15,27,2852.2727,3702.2961,96.347725,false
8fb1b8c03d99b851,76561198013295375,bodyy,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,13,18,6,7,80.6,222,0,0,0.7222222,1.0555556,80.63636,53.846153,4,18.181818,4,2,2,0,2,28,14,20,30,2836.3635,3461.1619,90.57727,false
8fb1b8c03d99b851,76561197982141573,Snax,"HeavyGoD, Snax, hades, huNter-, malbsMd",unknown,19,15,4,6,89.5,259,0,0,1.2666667,1.5333333,89.454544,31.578947,7,31.818182,3,3,1,0,6,44,13,26,34,2763.6365,3851.7021,155.33636,true
8fb1b8c03d99b851,76561198068002993,HeavyGoD,"HeavyGoD, Snax, hades, huNter-, malbsMd",unknown,19,12,7,10,89.5,1,0,0,1.5833334,2.1666667,89.454544,52.63158,10,45.454544,1,0,3,0,4,30,17,34,22,2979.5454,4260.458,152.9909,true
8fb1b8c03d99b851,76561198031890115,Lucky,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,21,16,7,9,103.2,90,0,0,1.3125,1.75,103.181816,42.857143,7,31.818182,3,1,0,0,3,28,14,27,17,2895.4546,3643.7144,156.56818,false
8fb1b8c03d99b851,76561198045739761,Maka,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,15,16,2,3,72.5,64,1,1,0.9375,1.0625,72.454544,20.0,6,27.272728,3,2,2,0,5,33,23,16,23,2756.818,4118.0073,114.09545,false
8fb1b8c03d99b851,76561198080703143,malbsMd,"HeavyGoD, Snax, hades, huNter-, malbsMd",unknown,23,18,8,15,116.9,12,0,0,1.2777778,1.7222222,116.90909,65.21739,4,18.181818,5,1,0,0,6,24,23,20,26,2797.7273,4032.026,189.08182,true
8fb1b8c03d99b851,76561198012872053,huNter-,"HeavyGoD, Snax, hades, huNter-, malbsMd",unknown,6,13,5,3,44.2,109,0,0,0.46153846,0.84615386,44.18182,50.0,9,40.909092,0,1,2,0,1,45,21,18,29,2670.4546,4042.2478,34.054546,true
4d8f37f94f2a8fbc,76561198013295375,bodyy,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,3,1,0,2,15.4,12,0,0,3.0,3.0,15.4,66.666664,5,100.0,0,1,0,0,1,10,6,5,10,2520.0,4158.3438,113.41,true
4d8f37f94f2a8fbc,76561198031890115,Lucky,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,5,4,2,3,119.4,9,0,0,1.25,1.75,119.4,60.0,1,20.0,1,0,0,0,1,6,6,7,8,3190.0,3870.2085,177.09,true
4d8f37f94f2a8fbc,76561199009468655,ztr,"PR, REZ, Tauson, acoR, ztr",unknown,0,5,0,0,12.4,0,0,0,0.0,0.0,12.4,0.0,1,20.0,0,2,1,0,0,8,6,1,2,2390.0,2482.315,0.0,false
